Price,Close,High,Low,Open,Volume
Ticker,DHR,DHR,DHR,DHR,DHR
Date,,,,,
2018-02-01,87.54576873779297,87.82939781308846,86.37688794790756,86.73787040737454,2582218
2018-02-02,87.82078552246094,88.12160417884165,87.03866441244487,87.03866441244487,5140183
2018-02-05,83.11090850830078,87.53718969475013,82.75852083555957,87.19339684329528,5429177
2018-02-06,83.41170501708984,84.72669764680421,81.4349260592143,81.90763374929,7550719
2018-02-07,81.86466979980469,83.34295679160566,81.43493615523849,82.83586975963394,6020136
2018-02-08,79.20889282226562,82.12249984343222,79.19170318212379,81.99358493894339,3883817
2018-02-09,81.1856689453125,81.89043670510847,78.93385595881665,80.18868473676639,4166381
2018-02-12,82.002197265625,82.41474132052798,81.30602408782988,81.76154225226196,2535293
2018-02-13,81.63259887695312,82.0365554023777,80.82470061925316,81.41773578128061,2270213
2018-02-14,82.59521484375,82.65537858417098,80.89345526499224,81.125515406616,1697527
2018-02-15,83.772705078125,84.03913715010064,82.83587692398663,83.36015364294794,2139365
2018-02-16,83.8328628540039,84.58919230476964,83.21404314192014,83.66096643493184,2130792
2018-02-20,83.23981475830078,84.00473891196864,83.00775462836755,83.49765195054094,2381885
2018-02-21,83.66956329345703,85.00174578055632,83.0507435663034,83.10231249328085,2455656
2018-02-22,83.67816162109375,84.60638755243292,83.42031697540166,84.1250849437172,2642227
2018-02-23,85.37129211425781,85.42286102699182,83.91878992863778,83.97894626358696,1857478
2018-02-26,86.66053009033203,87.2277809298808,85.30256304548824,85.534623232994,4052904
2018-02-27,85.57757568359375,87.49419826116295,85.55179122484094,86.66910297764731,2904374
2018-02-28,84.03913116455078,86.11905564570061,84.0219415226427,85.77526280753914,2309918
2018-03-01,82.50067901611328,84.22821580909608,81.77872146469085,84.01334528885857,2594287
2018-03-02,82.69832611083984,82.87022247218128,81.5724197371998,82.09670363929119,2615606
2018-03-05,83.86722564697266,84.21960584020606,81.98498241796678,82.19984550298255,1919518
2018-03-06,84.01335144042969,84.03054108330733,83.274211589843,83.99616179755203,1720990
2018-03-07,86.65190124511719,87.00428140231877,83.32575090965693,83.5749932462414,4368067
2018-03-08,87.33090209960938,87.37387620019318,86.51440158509209,86.84100474952899,2733257
2018-03-09,89.16159057617188,89.44521228792469,87.38248472274597,87.77783911353745,3919800
2018-03-12,88.86934661865234,89.63427816003183,88.4052337607379,89.31627723408612,2586391
2018-03-13,88.35367584228516,89.63428931816176,88.15600236511807,89.29050389083719,2323680
2018-03-14,87.82078552246094,88.93809716729886,87.53716390016149,88.50836362618591,1707792
2018-03-15,87.8552017211914,88.23336650871674,87.64033116204241,87.99271887904676,1452413
2018-03-16,87.60594177246094,88.24195115763935,87.5715624869607,88.10444141221443,2830378
2018-03-19,86.21360778808594,87.53719556174583,85.56040872311841,87.4856266305713,2422493
2018-03-20,86.42845916748047,86.68630378823755,85.9557514260013,86.21359604675837,2627112
2018-03-21,85.78385925292969,86.79804074813526,85.77526443181289,86.68630807361698,2227687
2018-03-22,83.78987884521484,85.83541640408579,83.55781870689721,85.1564330255831,2115790
2018-03-23,82.45769500732422,84.58058590596876,82.26001415245095,84.15085231368853,2788867
2018-03-26,84.3657455444336,84.52903976763109,82.91323540380618,83.49767590957917,3588619
2018-03-27,83.5836181640625,85.07910230840463,83.10231555776687,84.82985248548889,2325710
2018-03-28,83.09291076660156,84.34119881234074,82.94655801711477,83.92797492843742,2648093
2018-03-29,84.2895278930664,84.82327746296633,83.21341976973972,83.4114263908569,2567102
2018-04-02,82.73133850097656,84.20345271400575,81.80157552701043,84.03988940729033,2934266
2018-04-03,84.56501007080078,84.66831045789074,83.058452865467,83.2908954061369,2450129
2018-04-04,85.27957153320312,85.45175125492574,82.78300261205527,83.37701524323228,2462537
2018-04-05,85.41730499267578,85.864972215079,85.04712604445359,85.71001048424712,1832098
