Price,Close,High,Low,Open,Volume
Ticker,CRM,CRM,CRM,CRM,CRM
Date,,,,,
2018-02-01,112.11380004882812,113.63530067387084,111.90496737352993,112.67069476997483,4302800
2018-02-02,110.16468048095703,111.72595974293003,110.09506959362133,111.40773745982145,4403800
2018-02-05,107.05207061767578,110.99007429280799,106.90290225990955,108.54373902130243,6124000
2018-02-06,108.96139526367188,109.01112057445172,103.11405834057754,104.4267261227831,6857900
2018-02-07,109.43873596191406,111.66629187259434,108.20561801557578,108.46417598329413,4515400
2018-02-08,103.45217895507812,109.5680211726582,103.42234679973188,109.48846370038945,6803800
2018-02-09,106.38578796386719,107.50950870073035,101.80139338491176,104.73500471396216,6615800
2018-02-12,107.94707489013672,108.87190961854104,105.66979351402249,107.10179004505454,4624100
2018-02-13,107.09185028076172,107.47968346210595,105.341623880966,107.41007257281385,7542800
2018-02-14,108.41445922851562,108.61335290669747,106.13718541272333,106.13718541272333,7428000
2018-02-15,112.49169158935547,112.79996730459659,109.43874383065311,111.68618547566587,8341900
2018-02-16,112.2331314086914,113.51596714754247,112.04418431619631,112.21323824789305,4667300
2018-02-20,113.71485137939453,114.61980050551885,111.6563493173626,111.82540324630305,4287800
2018-02-21,113.8441390991211,115.02752424004832,113.53585579454474,114.13252165534256,4976500
2018-02-22,112.37236022949219,114.36125156098763,111.85525182159144,113.88391430314066,4763400
2018-02-23,114.32146453857422,114.32146453857422,112.1137941066902,112.9988500781006,4173500
2018-02-26,116.00208282470703,116.15125118476897,114.7291936479454,115.46508128069486,5418900
2018-02-27,115.82308197021484,116.95674936413066,115.11702649414573,116.64847365138696,5908200
2018-02-28,115.60429382324219,117.4937418633481,115.57446167101703,116.35012797694053,9684400
2018-03-01,118.76663208007812,121.78974745590459,117.39429995540755,120.23841482914503,15555500
2018-03-02,121.24280548095703,121.65053181788433,116.9865795356617,117.99097171395434,10627500
2018-03-05,121.81957244873047,122.25713089190197,118.99535090066684,119.333458725287,10121300
2018-03-06,123.78858947753906,123.99742213947196,122.06819528111419,122.18753148236914,8154800
2018-03-07,124.63386535644531,125.0714162489421,122.49580585929667,122.69469193888452,6750400
2018-03-08,125.65814971923828,126.58298445350736,125.00181196529725,125.06148386193972,6127900
2018-03-09,126.70232391357422,126.79182038030922,125.54876331775718,126.48354465664214,5637800
2018-03-12,126.07582092285156,127.48793195442197,126.07582092285156,127.15977064921078,5609800
2018-03-13,126.02609252929688,127.39842470749146,125.03164694268747,127.17964546451456,4641800
2018-03-14,127.27909088134766,128.15420028257086,125.807315634426,126.34431717165997,5402400
2018-03-15,126.51336669921875,127.7464846693527,125.96641860060954,127.28903303032448,4603500
2018-03-16,125.27030944824219,127.23930742467668,124.99186590305085,126.58297729487104,6662900
2018-03-19,124.28580474853516,125.06147104221355,122.78418988509628,124.33552247245309,6830400
2018-03-20,124.42503356933594,126.1255345988954,123.75874926530717,123.89797103939851,7113600
2018-03-21,121.0240249633789,123.33113842288745,119.53235658213586,120.88480318809097,14824000
2018-03-22,117.38436126708984,119.98981150887391,116.78769541568634,119.73125352469249,10950500
2018-03-23,113.79440307617188,117.42413080278904,113.67506688043314,117.35451991869577,10902100
2018-03-26,118.30919647216797,118.59758661203679,114.4010248871465,117.58324783221983,13171700
2018-03-27,113.17784881591797,119.4925843064784,112.0939067775555,119.42296583247433,8304700
