Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1989-06-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,38.24
1989-07-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1989-08-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1989-09-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1989-10-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1989-11-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1989-12-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1990-01-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,43
1990-02-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,47.38
1990-03-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,47.88
1990-04-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,47.86
1990-05-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,36.99
1990-06-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,32.6
1990-07-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1990-08-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1990-09-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1990-10-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1990-11-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1990-12-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-01-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-02-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,24.87
1991-03-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-04-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-05-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-06-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-07-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-08-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-09-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-10-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-11-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1991-12-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1992-01-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1992-02-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1992-03-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1992-04-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1992-05-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1992-06-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1992-07-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,20.03
1992-08-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,20.55
1992-09-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,22
1992-10-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,23.36
1992-11-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,23.46
1992-12-01 00:00:00,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,26.18
1993-01-01 00:00:00,N/E,N/E,N/E,N/E,22.52,N/E,N/E,N/E,N/E,N/E,N/E,N/E,22.93
1993-02-01 00:00:00,N/E,N/E,N/E,N/E,22.34,N/E,N/E,N/E,N/E,N/E,N/E,N/E,22.26
1993-03-01 00:00:00,N/E,N/E,N/E,N/E,20.01,N/E,N/E,N/E,N/E,N/E,N/E,N/E,19.79
1993-04-01 00:00:00,N/E,N/E,N/E,N/E,20.26,N/E,N/E,N/E,N/E,N/E,N/E,N/E,19.71
1993-05-01 00:00:00,N/E,N/E,N/E,N/E,19.75,N/E,N/E,N/E,N/E,N/E,N/E,N/E,19.37
1993-06-01 00:00:00,N/E,N/E,N/E,N/E,18.13,N/E,N/E,N/E,N/E,N/E,N/E,N/E,18.02
1993-07-01 00:00:00,N/E,N/E,N/E,N/E,17.13,N/E,N/E,N/E,N/E,N/E,N/E,N/E,16.84
1993-08-01 00:00:00,N/E,N/E,N/E,N/E,16.36,N/E,N/E,N/E,N/E,N/E,N/E,N/E,16.1
1993-09-01 00:00:00,N/E,N/E,N/E,N/E,16.33,N/E,N/E,N/E,N/E,N/E,N/E,N/E,15.98
1993-10-01 00:00:00,N/E,N/E,N/E,N/E,15.78,N/E,N/E,N/E,N/E,N/E,N/E,N/E,15.43
1993-11-01 00:00:00,N/E,N/E,N/E,N/E,17.17,N/E,N/E,N/E,N/E,N/E,N/E,N/E,17.07
1993-12-01 00:00:00,N/E,N/E,N/E,N/E,13.69,N/E,N/E,N/E,N/E,N/E,N/E,N/E,13.55
1994-01-01 00:00:00,N/E,N/E,N/E,N/E,11.75,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11.47
1994-02-01 00:00:00,N/E,N/E,N/E,N/E,10.52,N/E,N/E,N/E,N/E,N/E,N/E,N/E,10.35
1994-03-01 00:00:00,N/E,N/E,N/E,N/E,11.24,N/E,N/E,N/E,N/E,N/E,N/E,N/E,12.25
1994-04-01 00:00:00,N/E,N/E,N/E,N/E,19.17,N/E,N/E,N/E,N/E,N/E,N/E,N/E,18.4
1994-05-01 00:00:00,N/E,N/E,N/E,N/E,20.24,N/E,N/E,N/E,N/E,N/E,N/E,N/E,19.55
1994-06-01 00:00:00,N/E,N/E,N/E,N/E,18.89,N/E,N/E,N/E,N/E,N/E,N/E,N/E,18.77
1994-07-01 00:00:00,N/E,N/E,N/E,N/E,21.18,N/E,N/E,N/E,N/E,N/E,N/E,N/E,20.54
1994-08-01 00:00:00,N/E,N/E,N/E,N/E,18.46,N/E,N/E,N/E,N/E,N/E,N/E,N/E,19.02
1994-09-01 00:00:00,N/E,N/E,N/E,N/E,17.82,N/E,N/E,N/E,N/E,N/E,N/E,N/E,17.92
1994-10-01 00:00:00,N/E,N/E,N/E,N/E,17.46,N/E,N/E,N/E,N/E,N/E,N/E,N/E,17.45
1994-11-01 00:00:00,N/E,N/E,N/E,N/E,19.29,N/E,N/E,N/E,N/E,N/E,N/E,N/E,19.63
1994-12-01 00:00:00,N/E,N/E,N/E,N/E,28.02,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0
1995-01-01 00:00:00,N/E,N/E,N/E,N/E,46.12,N/E,N/E,N/E,N/E,N/E,45.08,35.89,49.02
1995-02-01 00:00:00,N/E,N/E,N/E,N/E,54.02,N/E,N/E,N/E,N/E,N/E,51.98,40.31,53.8
1995-03-01 00:00:00,N/E,89.48,N/E,N/E,86.03,N/E,N/E,N/E,N/E,N/E,76.88,64.83,82.17
1995-04-01 00:00:00,N/E,85.22,N/E,N/E,85.33,N/E,N/E,N/E,N/E,N/E,82.79,75.09,79.44
1995-05-01 00:00:00,N/E,60.45,N/E,N/E,60.53,N/E,N/E,N/E,N/E,N/E,58.2,56.62,60.49
1995-06-01 00:00:00,N/E,49.5,N/E,N/E,49.49,N/E,N/E,N/E,N/E,N/E,49.19,47.18,49.67
1995-07-01 00:00:00,N/E,43,N/E,N/E,42.92,N/E,N/E,N/E,N/E,N/E,44.11,42.41,42.86
1995-08-01 00:00:00,N/E,37.6,N/E,N/E,37.57,N/E,N/E,N/E,N/E,N/E,37.85,35.67,37.61
1995-09-01 00:00:00,N/E,35.48,N/E,N/E,35.48,N/E,N/E,N/E,N/E,N/E,34.86,33.3,35.61
1995-10-01 00:00:00,N/E,42.61,N/E,N/E,42.57,N/E,N/E,N/E,N/E,N/E,42.18,40.57,42.57
1995-11-01 00:00:00,N/E,57.43,N/E,N/E,57.21,N/E,N/E,N/E,N/E,N/E,56.95,55.09,59.48
1995-12-01 00:00:00,N/E,51.36,N/E,N/E,51.34,N/E,N/E,N/E,N/E,N/E,50.63,49.03,51.55
1996-01-01 00:00:00,N/E,42.66,N/E,N/E,42.66,N/E,N/E,N/E,N/E,N/E,39.81,38.26,42.61
1996-02-01 00:00:00,N/E,40.11,N/E,N/E,40.12,N/E,N/E,N/E,N/E,N/E,38.43,36.92,40.24
1996-03-01 00:00:00,N/E,42.93,N/E,N/E,43.56,N/E,N/E,N/E,N/E,N/E,42.33,40.51,43.6
1996-04-01 00:00:00,N/E,36.61,N/E,N/E,36.93,N/E,N/E,N/E,N/E,N/E,34.62,32.98,36.17
1996-05-01 00:00:00,N/E,30.31,N/E,N/E,30.16,N/E,N/E,N/E,N/E,N/E,28.93,27.17,30.35
1996-06-01 00:00:00,N/E,30.11,N/E,N/E,30.09,N/E,N/E,N/E,N/E,N/E,29.32,27.61,30.07
1996-07-01 00:00:00,N/E,33.49,N/E,N/E,33.46,N/E,N/E,N/E,N/E,N/E,32.8,30.88,33.43
1996-08-01 00:00:00,N/E,29.36,N/E,N/E,29.54,N/E,N/E,N/E,N/E,N/E,27.04,25.26,0
1996-09-01 00:00:00,N/E,26.82,N/E,N/E,26.64,N/E,N/E,N/E,N/E,N/E,24.63,22.99,0
1996-10-01 00:00:00,N/E,28.68,N/E,N/E,29.71,N/E,N/E,N/E,N/E,N/E,27.77,25.93,29.69
1996-11-01 00:00:00,N/E,32.28,N/E,N/E,31.89,N/E,N/E,N/E,N/E,N/E,30.98,29.6,31.65
1996-12-01 00:00:00,N/E,29.92,N/E,N/E,29.65,N/E,N/E,N/E,N/E,N/E,29.18,28.23,28.71
1997-01-01 00:00:00,N/E,25.96,25.38,N/E,25.87,N/E,N/E,N/E,N/E,N/E,24.45,23.28,24.59
1997-02-01 00:00:00,N/E,22.11,23.54,N/E,22.24,N/E,N/E,N/E,N/E,N/E,21.1,19.73,23.95
1997-03-01 00:00:00,N/E,23.95,23.73,N/E,24.04,N/E,N/E,N/E,N/E,N/E,23.88,22.22,24.43
1997-04-01 00:00:00,N/E,23.98,23.97,N/E,23.8,N/E,N/E,N/E,N/E,N/E,23.23,22,21.36
1997-05-01 00:00:00,N/E,20.65,21.73,N/E,20.59,N/E,N/E,N/E,N/E,N/E,19.46,18.22,20.55
1997-06-01 00:00:00,N/E,22.53,22.41,N/E,22.5,N/E,N/E,N/E,N/E,N/E,21.79,20.85,22.47
1997-07-01 00:00:00,N/E,20.5,20.73,N/E,20.48,N/E,N/E,N/E,N/E,N/E,19.92,18.72,20.45
1997-08-01 00:00:00,N/E,20.64,21.27,N/E,20.66,N/E,N/E,N/E,N/E,N/E,19.58,18.72,20.63
1997-09-01 00:00:00,N/E,20.23,21.27,N/E,20.03,N/E,N/E,N/E,N/E,N/E,18.96,18.17,19.98
1997-10-01 00:00:00,N/E,19.7,20.47,N/E,19.38,N/E,N/E,N/E,N/E,N/E,19.02,18.29,19.34
1997-11-01 00:00:00,N/E,22.17,22.55,N/E,21.82,N/E,N/E,N/E,N/E,N/E,20.13,18.78,21.8
1997-12-01 00:00:00,N/E,20.48,20.48,N/E,20.41,N/E,N/E,N/E,N/E,N/E,20.23,19.53,20.38
1998-01-01 00:00:00,N/E,19.74,19.95,N/E,19.47,N/E,N/E,N/E,N/E,N/E,18.52,17.94,19.44
1998-02-01 00:00:00,N/E,20.52,20.67,N/E,20.61,N/E,N/E,N/E,N/E,N/E,20.05,18.79,20.58
1998-03-01 00:00:00,N/E,21.69,21.83,N/E,21.71,N/E,N/E,N/E,N/E,N/E,20.72,19.65,22.57
1998-04-01 00:00:00,N/E,20.55,20.44,N/E,20.41,N/E,N/E,N/E,N/E,N/E,19.83,19.02,20.39
1998-05-01 00:00:00,N/E,19.9,20.27,N/E,20.17,N/E,N/E,N/E,N/E,N/E,18.93,18,20.13
1998-06-01 00:00:00,N/E,21.47,21.79,N/E,21.1,N/E,N/E,N/E,N/E,N/E,19.87,19.06,21.08
1998-07-01 00:00:00,N/E,21.88,22.66,N/E,21.75,N/E,N/E,N/E,N/E,N/E,20.43,19.49,21.72
1998-08-01 00:00:00,N/E,25.78,27.2,N/E,25.33,N/E,N/E,N/E,N/E,N/E,24.74,23.31,25.29
1998-09-01 00:00:00,N/E,42.04,40.35,N/E,41.55,N/E,N/E,N/E,N/E,N/E,36.54,34.3,41
1998-10-01 00:00:00,N/E,37.65,38.69,N/E,37.49,N/E,N/E,N/E,N/E,N/E,32.93,31.26,37.64
1998-11-01 00:00:00,N/E,34.78,35.56,N/E,34.64,N/E,N/E,N/E,N/E,N/E,32.46,31.07,34.56
1998-12-01 00:00:00,N/E,36.69,36.29,N/E,36.6,N/E,N/E,N/E,N/E,N/E,34.15,32.51,36.51
1999-01-01 00:00:00,N/E,35.8,35.45,N/E,36.27,N/E,N/E,N/E,N/E,N/E,34.11,31.96,36.17
1999-02-01 00:00:00,N/E,32.21,31.35,N/E,31.97,N/E,N/E,N/E,N/E,N/E,30.26,28.42,31.94
1999-03-01 00:00:00,N/E,26.87,26.37,N/E,26.46,N/E,N/E,N/E,N/E,N/E,25.86,23.99,26.44
1999-04-01 00:00:00,N/E,22.54,22.99,N/E,22.49,N/E,N/E,N/E,N/E,N/E,21.1,19.66,22.45
1999-05-01 00:00:00,N/E,22.52,23.26,N/E,22.42,N/E,N/E,N/E,N/E,N/E,21.16,19.4,22.4
1999-06-01 00:00:00,N/E,23.6,23.77,N/E,23.68,N/E,N/E,N/E,N/E,N/E,22.02,20.14,23.66
1999-07-01 00:00:00,N/E,22.11,22.98,N/E,22.2,N/E,N/E,N/E,N/E,N/E,20.61,18.69,22.19
1999-08-01 00:00:00,N/E,23.13,24.36,N/E,23.2,N/E,N/E,N/E,N/E,N/E,20.52,18.94,23.17
1999-09-01 00:00:00,N/E,22.04,23.43,N/E,22.05,N/E,N/E,N/E,N/E,N/E,20.24,18.71,22.02
1999-10-01 00:00:00,N/E,20.63,22.41,N/E,20.4,N/E,N/E,N/E,N/E,N/E,18.28,16.92,20.37
1999-11-01 00:00:00,N/E,19.01,20.09,N/E,18.94,N/E,N/E,N/E,N/E,N/E,17.96,16.91,18.91
1999-12-01 00:00:00,N/E,18.75,19.06,N/E,18.67,N/E,N/E,N/E,N/E,N/E,17.24,15.81,18.66
2000-01-01 00:00:00,N/E,18.55,18.69,N/E,18.58,N/E,N/E,N/E,N/E,N/E,17.7,15.92,18.01
2000-02-01 00:00:00,N/E,18.15,18.12,N/E,18.2,N/E,N/E,N/E,N/E,N/E,17.34,15.6,18.18
2000-03-01 00:00:00,N/E,15.77,15.86,N/E,15.75,N/E,N/E,N/E,N/E,N/E,14.89,13.71,15.71
2000-04-01 00:00:00,N/E,14.74,15.1,N/E,14.78,N/E,N/E,N/E,N/E,N/E,14.08,12.96,14.75
2000-05-01 00:00:00,N/E,15.92,16.77,N/E,15.92,N/E,N/E,N/E,N/E,N/E,14.95,14.23,15.89
2000-06-01 00:00:00,N/E,17.44,17.73,N/E,17.41,N/E,N/E,N/E,N/E,N/E,16.58,16.06,17.38
2000-07-01 00:00:00,N/E,15.13,15.4,N/E,15.01,N/E,N/E,N/E,N/E,N/E,14.11,13.67,14.96
2000-08-01 00:00:00,N/E,16.62,16.84,N/E,16.66,N/E,N/E,N/E,N/E,N/E,16.3,15.35,16.62
2000-09-01 00:00:00,N/E,16.77,17.13,N/E,16.84,N/E,N/E,N/E,N/E,N/E,15.96,15.3,16.82
2000-10-01 00:00:00,N/E,17.38,17.99,N/E,17.47,N/E,N/E,N/E,N/E,N/E,16.45,16.2,17.44
2000-11-01 00:00:00,N/E,18.64,18.76,N/E,18.63,N/E,N/E,N/E,N/E,N/E,17.92,17.53,18.66
2000-12-01 00:00:00,N/E,18.39,18.39,N/E,18.39,N/E,N/E,N/E,N/E,N/E,17.66,17.56,18.38
2001-01-01 00:00:00,N/E,18.62,18.86,N/E,18.81,N/E,N/E,N/E,N/E,N/E,17.7,17.57,18.79
2001-02-01 00:00:00,N/E,18.12,18.36,N/E,18.22,N/E,N/E,N/E,N/E,N/E,17.45,16.68,18.21
2001-03-01 00:00:00,N/E,17.28,17.22,N/E,17.22,N/E,N/E,N/E,N/E,N/E,16.68,15.98,17.21
2001-04-01 00:00:00,N/E,16.36,16.31,N/E,16.37,N/E,N/E,N/E,N/E,N/E,15.81,14.8,16.25
2001-05-01 00:00:00,N/E,14.09,14.22,N/E,14.03,N/E,N/E,N/E,N/E,N/E,13.2,12.15,14.01
2001-06-01 00:00:00,N/E,11.64,11.9,N/E,11.55,N/E,N/E,N/E,N/E,N/E,10.87,9.37,11.52
2001-07-01 00:00:00,N/E,11.1,11.6,N/E,11.02,N/E,11.34,N/E,N/E,N/E,9.87,9.37,11
2001-08-01 00:00:00,N/E,9.29,10.22,N/E,9.38,N/E,10.14,11.18,N/E,N/E,8.59,7.43,9.34
2001-09-01 00:00:00,N/E,10.95,12.19,N/E,11.08,N/E,11.74,12.58,N/E,N/E,9.53,8.5,10.96
2001-10-01 00:00:00,N/E,10.34,11.16,N/E,10.35,N/E,10.89,11.65,N/E,N/E,9.2,7.98,10.3
2001-11-01 00:00:00,N/E,8.9,10.21,N/E,8.94,N/E,9.8,10.75,11.24,11.65,7.71,7.31,8.9
2001-12-01 00:00:00,N/E,7.94,8.87,N/E,7.96,N/E,8.58,9.64,10.35,10.84,6.74,6.38,7.87
2002-01-01 00:00:00,N/E,7.97,8.44,N/E,N/E,N/E,7.89,8.64,9.25,9.72,7.2,7,8.14
2002-02-01 00:00:00,N/E,8.99,9.06,N/E,N/E,N/E,8.61,8.91,9.22,9.52,8.15,7.99,9.05
2002-03-01 00:00:00,N/E,8.47,8.61,N/E,N/E,N/E,8.11,8.36,8.65,9.02,7.59,7.49,8.29
2002-04-01 00:00:00,N/E,6.85,7.12,N/E,N/E,N/E,6.8,7.28,7.64,7.98,5.42,5.38,6.78
2002-05-01 00:00:00,N/E,7.73,7.63,N/E,N/E,N/E,7.35,7.61,7.86,8.12,7.09,7,7.63
2002-06-01 00:00:00,N/E,8.42,8.65,N/E,N/E,N/E,8.12,8.34,8.57,8.81,7.26,7.21,8.55
2002-07-01 00:00:00,N/E,8.34,8.73,N/E,N/E,N/E,8.29,8.72,9.07,9.29,6.92,6.86,8.33
2002-08-01 00:00:00,N/E,7.61,7.95,N/E,N/E,N/E,7.62,8.06,8.51,8.91,6.53,6.48,7.61
2002-09-01 00:00:00,N/E,8.37,8.74,N/E,N/E,N/E,8.54,8.92,9.3,9.6,7.08,6.99,8.3
2002-10-01 00:00:00,N/E,8.67,9.1,N/E,N/E,N/E,8.79,9.29,9.74,10.11,7.73,7.36,8.71
2002-11-01 00:00:00,N/E,8.33,8.73,N/E,N/E,N/E,8.5,8.99,9.38,9.82,7.34,7.08,8.16
2002-12-01 00:00:00,N/E,8.26,8.64,N/E,N/E,N/E,8.43,8.74,9.19,9.57,7.5,7.16,8.22
2003-01-01 00:00:00,N/E,9.14,9.38,N/E,N/E,N/E,8.95,9.17,9.47,9.74,8.29,8.09,9.18
2003-02-01 00:00:00,N/E,9.91,9.85,N/E,N/E,N/E,9.37,9.53,9.68,9.85,9.12,8.84,9.95
2003-03-01 00:00:00,N/E,9.96,10.04,N/E,N/E,N/E,9.43,9.54,9.69,9.8,9.08,8.84,10.12
2003-04-01 00:00:00,N/E,8.58,8.7,N/E,N/E,N/E,8.63,8.72,8.82,8.93,7.71,7.56,8.59
2003-05-01 00:00:00,N/E,5.92,6.74,N/E,N/E,N/E,6.99,7.11,7.24,7.36,5.15,4.95,5.93
2003-06-01 00:00:00,N/E,5.79,6.19,N/E,N/E,N/E,5.93,6.1,6.25,6.39,5.25,5.05,5.75
2003-07-01 00:00:00,N/E,5.3,5.7,N/E,N/E,N/E,5.36,5.67,5.86,6.03,4.5,4.31,5.27
2003-08-01 00:00:00,N/E,4.97,5.54,N/E,N/E,N/E,5.08,5.62,5.88,6.03,4.22,4.05,4.99
2003-09-01 00:00:00,N/E,5.05,5.5,N/E,N/E,N/E,5.08,5.58,5.84,6.03,4.32,4.18,5.04
2003-10-01 00:00:00,N/E,5.6,5.93,N/E,N/E,5.06,5.38,5.66,5.9,6.09,5.13,4.96,5.53
2003-11-01 00:00:00,N/E,5.35,5.83,N/E,N/E,5.1,5.35,5.67,5.99,6.18,4.99,4.82,4.99
2003-12-01 00:00:00,N/E,6.4,6.57,N/E,N/E,6.1,6.22,6.35,6.5,6.67,6.08,5.92,6.22
