Banco de México,Unnamed: 1,Unnamed: 2
,,
Índices de Precios al Consumidor y UDIS,,
Inflación quincenal,,
,,
Fecha de consulta: 22/02/2025 05:13:38,,
,,
,,
,,
Título,"Índice Nacional de Precios al consumidor, variación anual","Inflación, Subyacente (nueva definición), Anual"
Periodo disponible,1Q Ene 2022 - 2Q Ene 2025,1Q Ene 2022 - 2Q Ene 2025
Periodicidad,Quincenal,Quincenal
Cifra,Porcentajes,Porcentajes
Unidad,Sin Unidad,Sin Unidad
Base,,
Aviso,,
Tipo de información,Índices,Índices
Fecha,SP74833,SP74834
2022-01-01 00:00:00,7.13,6.11
2022-01-16 00:00:00,7.01,6.3
2022-02-01 00:00:00,7.22,6.52
2022-02-16 00:00:00,7.34,6.67
2022-03-01 00:00:00,7.29,6.68
2022-03-16 00:00:00,7.62,6.88
2022-04-01 00:00:00,7.72,7.16
2022-04-16 00:00:00,7.65,7.27
2022-05-01 00:00:00,7.58,7.24
2022-05-16 00:00:00,7.72,7.32
2022-06-01 00:00:00,7.88,7.47
2022-06-16 00:00:00,8.09,7.52
2022-07-01 00:00:00,8.16,7.56
2022-07-16 00:00:00,8.14,7.75
2022-08-01 00:00:00,8.62,7.97
2022-08-16 00:00:00,8.77,8.13
2022-09-01 00:00:00,8.76,8.27
2022-09-16 00:00:00,8.64,8.29
2022-10-01 00:00:00,8.53,8.39
2022-10-16 00:00:00,8.28,8.45
2022-11-01 00:00:00,8.14,8.66
2022-11-16 00:00:00,7.46,8.37
2022-12-01 00:00:00,7.77,8.35
2022-12-16 00:00:00,7.86,8.34
2023-01-01 00:00:00,7.94,8.45
2023-01-16 00:00:00,7.88,8.46
2023-02-01 00:00:00,7.76,8.38
2023-02-16 00:00:00,7.48,8.21
2023-03-01 00:00:00,7.12,8.15
2023-03-16 00:00:00,6.58,8.03
2023-04-01 00:00:00,6.24,7.75
2023-04-16 00:00:00,6.27,7.59
2023-05-01 00:00:00,6,7.45
2023-05-16 00:00:00,5.67,7.32
2023-06-01 00:00:00,5.18,6.91
2023-06-16 00:00:00,4.93,6.86
2023-07-01 00:00:00,4.79,6.76
2023-07-16 00:00:00,4.78,6.52
2023-08-01 00:00:00,4.67,6.21
2023-08-16 00:00:00,4.6,5.96
2023-09-01 00:00:00,4.44,5.78
2023-09-16 00:00:00,4.47,5.74
2023-10-01 00:00:00,4.27,5.54
2023-10-16 00:00:00,4.25,5.46
2023-11-01 00:00:00,4.32,5.31
2023-11-16 00:00:00,4.33,5.3
2023-12-01 00:00:00,4.46,5.19
2023-12-16 00:00:00,4.86,4.98
2024-01-01 00:00:00,4.9,4.78
2024-01-16 00:00:00,4.87,4.75
2024-02-01 00:00:00,4.45,4.63
2024-02-16 00:00:00,4.35,4.66
2024-03-01 00:00:00,4.48,4.69
2024-03-16 00:00:00,4.37,4.41
2024-04-01 00:00:00,4.63,4.39
2024-04-16 00:00:00,4.67,4.34
2024-05-01 00:00:00,4.78,4.31
2024-05-16 00:00:00,4.59,4.11
2024-06-01 00:00:00,4.78,4.17
2024-06-16 00:00:00,5.17,4.08
2024-07-01 00:00:00,5.61,4.02
2024-07-16 00:00:00,5.52,4.08
2024-08-01 00:00:00,5.16,3.98
2024-08-16 00:00:00,4.83,4.01
2024-09-01 00:00:00,4.66,3.95
2024-09-16 00:00:00,4.5,3.88
2024-10-01 00:00:00,4.69,3.87
2024-10-16 00:00:00,4.83,3.74
2024-11-01 00:00:00,4.56,3.58
2024-11-16 00:00:00,4.54,3.57
2024-12-01 00:00:00,4.44,3.62
2024-12-16 00:00:00,3.99,3.69
2025-01-01 00:00:00,3.69,3.72
2025-01-16 00:00:00,3.48,3.61
