,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS
CLAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200860743,OAXACA,SAN ANDRES DINICUITI,0.0,12.0,14.0,9.0,1.0,1.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,OAXACA,SAN ANDRES DINICUITI,0.0,10.0,6.0,4.0,7.0,0.0,0.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78
200870744,OAXACA,SAN ANDRES HUAXPALTEPEC,33.0,245.0,72.0,13.0,17.0,19.0,147.0,484.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,2.0,1110.0,OAXACA,SAN ANDRES HUAXPALTEPEC,24.0,124.0,7.0,2.0,15.0,8.0,86.0,418.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,3.0,743
200870745,OAXACA,SAN ANDRES HUAXPALTEPEC,28.0,291.0,117.0,9.0,18.0,21.0,80.0,408.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,2.0,1044.0,OAXACA,SAN ANDRES HUAXPALTEPEC,26.0,198.0,10.0,3.0,37.0,10.0,45.0,621.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,8.0,5.0,0.0,5.0,1045
200870746,OAXACA,SAN ANDRES HUAXPALTEPEC,35.0,267.0,84.0,16.0,19.0,29.0,80.0,490.0,14.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1095.0,OAXACA,SAN ANDRES HUAXPALTEPEC,39.0,161.0,7.0,8.0,33.0,13.0,53.0,697.0,19.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,5.0,0.0,3.0,1098
200880747,OAXACA,SAN ANDRES HUAYAPAM,109.0,156.0,22.0,39.0,103.0,19.0,10.0,635.0,20.0,4.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,15.0,1.0,4.0,1195.0,OAXACA,SAN ANDRES HUAYAPAM,102.0,127.0,9.0,6.0,97.0,7.0,2.0,693.0,17.0,6.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,18.0,12.0,4.0,6.0,1196
200880748,OAXACA,SAN ANDRES HUAYAPAM,178.0,187.0,22.0,38.0,58.0,21.0,21.0,565.0,26.0,6.0,2.0,1.0,0.0,8.0,3.0,2.0,0.0,14.0,8.0,0.0,0.0,1223.0,OAXACA,SAN ANDRES HUAYAPAM,174.0,164.0,11.0,12.0,53.0,3.0,5.0,622.0,19.0,7.0,3.0,2.0,0.0,8.0,4.0,0.0,0.0,23.0,10.0,3.0,3.0,1224
200890749,OAXACA,SAN ANDRES IXTLAHUACA,57.0,84.0,20.0,13.0,78.0,17.0,11.0,372.0,9.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,12.0,5.0,1.0,0.0,715.0,OAXACA,SAN ANDRES IXTLAHUACA,51.0,75.0,10.0,5.0,77.0,9.0,7.0,388.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,13.0,0.0,3.0,715
200900750,OAXACA,SAN ANDRES LAGUNAS,10.0,76.0,10.0,9.0,19.0,3.0,0.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,OAXACA,SAN ANDRES LAGUNAS,12.0,65.0,7.0,5.0,24.0,7.0,1.0,79.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,211
200910751,OAXACA,SAN ANDRES NUXIÑO,9.0,176.0,7.0,13.0,41.0,1.0,2.0,28.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,298.0,OAXACA,SAN ANDRES NUXIÑO,14.0,169.0,6.0,5.0,46.0,0.0,0.0,32.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,298
200910752,OAXACA,SAN ANDRES NUXIÑO,33.0,61.0,24.0,13.0,79.0,11.0,4.0,120.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,4.0,0.0,1.0,387.0,OAXACA,SAN ANDRES NUXIÑO,32.0,61.0,17.0,3.0,88.0,4.0,1.0,119.0,4.0,3.0,1.0,2.0,0.0,1.0,6.0,1.0,0.0,11.0,9.0,0.0,1.0,387
200920753,OAXACA,SAN ANDRES PAXTLAN,68.0,189.0,15.0,30.0,46.0,13.0,23.0,244.0,27.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,9.0,4.0,0.0,1.0,785.0,OAXACA,SAN ANDRES PAXTLAN,64.0,170.0,13.0,23.0,65.0,6.0,16.0,259.0,30.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,3.0,12.0,7.0,0.0,5.0,791
200920754,OAXACA,SAN ANDRES PAXTLAN,67.0,53.0,16.0,12.0,43.0,10.0,4.0,212.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,3.0,3.0,3.0,501.0,OAXACA,SAN ANDRES PAXTLAN,50.0,45.0,10.0,5.0,46.0,5.0,5.0,227.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,1.0,8.0,511
200920755,OAXACA,SAN ANDRES PAXTLAN,40.0,24.0,4.0,7.0,34.0,4.0,5.0,83.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,239.0,OAXACA,SAN ANDRES PAXTLAN,36.0,14.0,4.0,4.0,33.0,0.0,8.0,73.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,219
200930756,OAXACA,SAN ANDRES SINAXTLA,15.0,35.0,22.0,5.0,60.0,8.0,9.0,202.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,380.0,OAXACA,SAN ANDRES SINAXTLA,16.0,21.0,9.0,1.0,59.0,0.0,3.0,227.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,377
200940757,OAXACA,SAN ANDRES SOLAGA,6.0,17.0,6.0,5.0,26.0,3.0,4.0,291.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,378.0,OAXACA,SAN ANDRES SOLAGA,1.0,18.0,5.0,4.0,23.0,1.0,2.0,287.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,0.0,378
200940758,OAXACA,SAN ANDRES SOLAGA,10.0,72.0,10.0,6.0,18.0,7.0,9.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,285.0,OAXACA,SAN ANDRES SOLAGA,12.0,81.0,9.0,2.0,18.0,0.0,8.0,136.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,285
200950759,OAXACA,SAN ANDRES TEOTILALPAM,26.0,205.0,17.0,15.0,43.0,24.0,24.0,867.0,13.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,12.0,7.0,0.0,1.0,1316.0,OAXACA,SAN ANDRES TEOTILALPAM,32.0,191.0,19.0,10.0,46.0,22.0,20.0,863.0,14.0,1.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,15.0,11.0,3.0,7.0,1318
200950760,OAXACA,SAN ANDRES TEOTILALPAM,20.0,121.0,9.0,7.0,22.0,6.0,20.0,309.0,11.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,4.0,3.0,2.0,1.0,574.0,OAXACA,SAN ANDRES TEOTILALPAM,25.0,123.0,8.0,5.0,24.0,6.0,8.0,301.0,11.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,10.0,7.0,1.0,3.0,575
200960761,OAXACA,SAN ANDRES TEPETLAPA,11.0,26.0,47.0,2.0,8.0,0.0,3.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,157.0,OAXACA,SAN ANDRES TEPETLAPA,16.0,27.0,35.0,3.0,9.0,0.0,3.0,36.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,157
200970762,OAXACA,SAN ANDRES YAA,5.0,31.0,4.0,3.0,12.0,6.0,6.0,134.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,211.0,OAXACA,SAN ANDRES YAA,6.0,35.0,5.0,2.0,8.0,3.0,3.0,134.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,211
200980763,OAXACA,SAN ANDRES ZABACHE,27.0,107.0,20.0,3.0,20.0,2.0,7.0,160.0,9.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,5.0,0.0,4.0,408.0,OAXACA,SAN ANDRES ZABACHE,37.0,89.0,18.0,7.0,18.0,0.0,5.0,180.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,6.0,0.0,4.0,407
200990764,OAXACA,SAN ANDRES ZAUTLA,23.0,428.0,41.0,27.0,55.0,17.0,11.0,762.0,26.0,1.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,3.0,6.0,4.0,1.0,1481.0,OAXACA,SAN ANDRES ZAUTLA,33.0,337.0,15.0,6.0,65.0,10.0,2.0,871.0,37.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,10.0,12.0,3.0,4.0,1476
200990765,OAXACA,SAN ANDRES ZAUTLA,19.0,166.0,11.0,13.0,53.0,14.0,10.0,374.0,17.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,19.0,9.0,2.0,2.0,742.0,OAXACA,SAN ANDRES ZAUTLA,32.0,130.0,8.0,3.0,56.0,10.0,3.0,475.0,20.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,33.0,19.0,5.0,9.0,842
201000766,OAXACA,SAN ANTONINO CASTILLO VELASCO,22.0,208.0,62.0,29.0,38.0,14.0,11.0,370.0,13.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,2.0,6.0,846.0,OAXACA,SAN ANTONINO CASTILLO VELASCO,49.0,130.0,26.0,6.0,45.0,9.0,3.0,470.0,20.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,15.0,7.0,0.0,6.0,845
201000767,OAXACA,SAN ANTONINO CASTILLO VELASCO,24.0,129.0,28.0,25.0,24.0,24.0,8.0,319.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,5.0,0.0,2.0,663.0,OAXACA,SAN ANTONINO CASTILLO VELASCO,35.0,75.0,10.0,7.0,37.0,3.0,2.0,375.0,24.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,15.0,10.0,0.0,1.0,661
201000768,OAXACA,SAN ANTONINO CASTILLO VELASCO,27.0,84.0,30.0,24.0,29.0,19.0,11.0,332.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,3.0,5.0,625.0,OAXACA,SAN ANTONINO CASTILLO VELASCO,53.0,46.0,4.0,11.0,46.0,7.0,2.0,362.0,20.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,25.0,6.0,3.0,3.0,625
201000769,OAXACA,SAN ANTONINO CASTILLO VELASCO,38.0,98.0,36.0,33.0,27.0,26.0,10.0,385.0,22.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,5.0,4.0,0.0,2.0,747.0,OAXACA,SAN ANTONINO CASTILLO VELASCO,39.0,68.0,12.0,12.0,38.0,8.0,1.0,457.0,21.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,16.0,12.0,1.0,4.0,744
201010770,OAXACA,SAN ANTONINO EL ALTO,43.0,94.0,125.0,21.0,70.0,23.0,21.0,423.0,18.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,13.0,5.0,0.0,3.0,911.0,OAXACA,SAN ANTONINO EL ALTO,50.0,70.0,96.0,15.0,72.0,15.0,8.0,464.0,15.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,18.0,6.0,0.0,3.0,911
201010771,OAXACA,SAN ANTONINO EL ALTO,3.0,8.0,19.0,5.0,8.0,4.0,3.0,109.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,170.0,OAXACA,SAN ANTONINO EL ALTO,6.0,13.0,11.0,1.0,10.0,6.0,0.0,103.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,170
201020772,OAXACA,SAN ANTONINO MONTE VERDE,22.0,76.0,100.0,20.0,69.0,23.0,12.0,560.0,9.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,6.0,0.0,3.0,985.0,OAXACA,SAN ANTONINO MONTE VERDE,25.0,79.0,65.0,14.0,70.0,17.0,12.0,586.0,9.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,22.0,7.0,0.0,3.0,983
201020773,OAXACA,SAN ANTONINO MONTE VERDE,3.0,53.0,24.0,3.0,19.0,7.0,10.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,342.0,OAXACA,SAN ANTONINO MONTE VERDE,5.0,55.0,18.0,3.0,24.0,5.0,4.0,186.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,1.0,342
201020774,OAXACA,SAN ANTONINO MONTE VERDE,14.0,734.0,82.0,14.0,13.0,8.0,4.0,44.0,0.0,1.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,979.0,OAXACA,SAN ANTONINO MONTE VERDE,16.0,725.0,39.0,12.0,26.0,2.0,1.0,83.0,3.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,979
201020775,OAXACA,SAN ANTONINO MONTE VERDE,28.0,224.0,201.0,18.0,39.0,16.0,3.0,146.0,5.0,9.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,9.0,4.0,0.0,1.0,791.0,OAXACA,SAN ANTONINO MONTE VERDE,33.0,234.0,115.0,11.0,53.0,13.0,7.0,197.0,1.0,7.0,6.0,0.0,3.0,5.0,3.0,0.0,2.0,20.0,5.0,2.0,3.0,791
201030776,OAXACA,SAN ANTONIO ACUTLA,2.0,14.0,13.0,2.0,24.0,3.0,4.0,61.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,139.0,OAXACA,SAN ANTONIO ACUTLA,1.0,9.0,7.0,0.0,31.0,1.0,2.0,70.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,139
201040777,OAXACA,SAN ANTONIO DE LA CAL,115.0,188.0,94.0,53.0,130.0,39.0,39.0,1197.0,30.0,4.0,2.0,7.0,0.0,2.0,3.0,1.0,0.0,38.0,19.0,0.0,5.0,2021.0,OAXACA,SAN ANTONIO DE LA CAL,123.0,138.0,130.0,11.0,165.0,7.0,9.0,1289.0,28.0,5.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,65.0,18.0,4.0,11.0,2112
201040778,OAXACA,SAN ANTONIO DE LA CAL,129.0,209.0,93.0,59.0,149.0,39.0,21.0,1319.0,47.0,6.0,5.0,1.0,0.0,3.0,6.0,1.0,1.0,39.0,16.0,0.0,3.0,2208.0,OAXACA,SAN ANTONIO DE LA CAL,126.0,180.0,42.0,10.0,162.0,15.0,9.0,1391.0,37.0,5.0,5.0,1.0,1.0,2.0,5.0,1.0,14.0,49.0,42.0,2.0,15.0,2221
201040779,OAXACA,SAN ANTONIO DE LA CAL,124.0,171.0,59.0,38.0,95.0,37.0,17.0,975.0,18.0,3.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,19.0,10.0,0.0,5.0,1645.0,OAXACA,SAN ANTONIO DE LA CAL,116.0,146.0,21.0,7.0,88.0,4.0,1.0,1059.0,26.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,35.0,17.0,0.0,9.0,1642
201040780,OAXACA,SAN ANTONIO DE LA CAL,105.0,126.0,36.0,30.0,74.0,27.0,24.0,879.0,37.0,3.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,29.0,13.0,0.0,6.0,1455.0,OAXACA,SAN ANTONIO DE LA CAL,91.0,93.0,10.0,8.0,73.0,9.0,1.0,958.0,24.0,5.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,47.0,20.0,1.0,7.0,1453
201040781,OAXACA,SAN ANTONIO DE LA CAL,169.0,226.0,96.0,57.0,130.0,52.0,37.0,1501.0,46.0,6.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,45.0,18.0,3.0,7.0,2481.0,OAXACA,SAN ANTONIO DE LA CAL,139.0,196.0,49.0,17.0,129.0,13.0,17.0,1597.0,37.0,8.0,4.0,1.0,0.0,4.0,6.0,1.0,0.0,88.0,29.0,3.0,8.0,2483
201050782,OAXACA,SAN ANTONIO HUITEPEC,15.0,16.0,71.0,4.0,46.0,4.0,6.0,181.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,376.0,OAXACA,SAN ANTONIO HUITEPEC,20.0,12.0,57.0,4.0,49.0,3.0,2.0,196.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,377
201050783,OAXACA,SAN ANTONIO HUITEPEC,11.0,21.0,74.0,12.0,58.0,11.0,12.0,231.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,458.0,OAXACA,SAN ANTONIO HUITEPEC,16.0,18.0,64.0,5.0,63.0,8.0,6.0,238.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,452
201050784,OAXACA,SAN ANTONIO HUITEPEC,0.0,4.0,1.0,1.0,4.0,2.0,2.0,39.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,62.0,OAXACA,SAN ANTONIO HUITEPEC,1.0,4.0,0.0,0.0,5.0,0.0,1.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,61
201050785,OAXACA,SAN ANTONIO HUITEPEC,3.0,2.0,13.0,2.0,48.0,0.0,1.0,100.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,16.0,0.0,1.0,205.0,OAXACA,SAN ANTONIO HUITEPEC,1.0,2.0,11.0,0.0,45.0,0.0,0.0,104.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,3.0,2.0,205
201050786,OAXACA,SAN ANTONIO HUITEPEC,1.0,5.0,4.0,2.0,17.0,5.0,2.0,166.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,216.0,OAXACA,SAN ANTONIO HUITEPEC,1.0,4.0,6.0,1.0,19.0,0.0,1.0,167.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,216
201050787,OAXACA,SAN ANTONIO HUITEPEC,0.0,3.0,9.0,0.0,18.0,1.0,1.0,116.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,166.0,OAXACA,SAN ANTONIO HUITEPEC,0.0,2.0,4.0,0.0,15.0,1.0,1.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,166
201060788,OAXACA,SAN ANTONIO NANAHUATIPAM,10.0,62.0,6.0,7.0,15.0,4.0,154.0,456.0,11.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,3.0,1.0,0.0,2.0,756.0,OAXACA,SAN ANTONIO NANAHUATIPAM,13.0,46.0,3.0,4.0,30.0,1.0,36.0,556.0,18.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,12.0,5.0,0.0,1.0,754
201070789,OAXACA,SAN ANTONIO SINICAHUA,18.0,74.0,142.0,15.0,51.0,16.0,13.0,149.0,4.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,0.0,2.0,562.0,OAXACA,SAN ANTONIO SINICAHUA,9.0,68.0,44.0,13.0,65.0,8.0,9.0,323.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,6.0,0.0,3.0,640
201080790,OAXACA,SAN ANTONIO TEPETLAPA,12.0,65.0,114.0,19.0,67.0,24.0,9.0,425.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,6.0,1.0,4.0,826.0,OAXACA,SAN ANTONIO TEPETLAPA,10.0,63.0,59.0,11.0,71.0,15.0,6.0,467.0,18.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,16.0,6.0,0.0,4.0,827
201080791,OAXACA,SAN ANTONIO TEPETLAPA,8.0,12.0,34.0,7.0,8.0,6.0,5.0,337.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,445.0,OAXACA,SAN ANTONIO TEPETLAPA,5.0,11.0,11.0,4.0,10.0,7.0,5.0,355.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,1.0,444
201090792,OAXACA,SAN BALTAZAR CHICHICAPAM,11.0,296.0,20.0,24.0,25.0,12.0,8.0,518.0,10.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,0.0,4.0,4.0,0.0,0.0,987.0,OAXACA,SAN BALTAZAR CHICHICAPAM,10.0,158.0,20.0,11.0,28.0,10.0,8.0,571.0,11.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,6.0,0.0,4.0,890
201090793,OAXACA,SAN BALTAZAR CHICHICAPAM,7.0,219.0,15.0,27.0,34.0,16.0,3.0,579.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,4.0,0.0,1.0,956.0,OAXACA,SAN BALTAZAR CHICHICAPAM,15.0,192.0,10.0,10.0,37.0,9.0,1.0,624.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,5.0,0.0,1.0,958
201100794,OAXACA,SAN BALTAZAR LOXICHA,108.0,226.0,12.0,19.0,79.0,21.0,19.0,794.0,35.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,13.0,15.0,2.0,5.0,1412.0,OAXACA,SAN BALTAZAR LOXICHA,77.0,200.0,9.0,9.0,69.0,15.0,15.0,854.0,31.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,20.0,15.0,3.0,9.0,1415
201110795,OAXACA,SAN BALTAZAR YATZACHI EL BAJO,1.0,14.0,5.0,4.0,5.0,2.0,0.0,68.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,109.0,OAXACA,SAN BALTAZAR YATZACHI EL BAJO,2.0,11.0,3.0,1.0,10.0,1.0,1.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,109
201110796,OAXACA,SAN BALTAZAR YATZACHI EL BAJO,4.0,11.0,3.0,2.0,1.0,1.0,4.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,OAXACA,SAN BALTAZAR YATZACHI EL BAJO,6.0,11.0,4.0,1.0,1.0,1.0,3.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
201110797,OAXACA,SAN BALTAZAR YATZACHI EL BAJO,1.0,7.0,2.0,1.0,4.0,1.0,1.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,OAXACA,SAN BALTAZAR YATZACHI EL BAJO,0.0,5.0,3.0,1.0,5.0,0.0,1.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,99
201120798,OAXACA,SAN BARTOLO COYOTEPEC,55.0,118.0,24.0,29.0,50.0,24.0,21.0,610.0,29.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,14.0,11.0,1.0,1.0,1030.0,OAXACA,SAN BARTOLO COYOTEPEC,106.0,134.0,19.0,6.0,79.0,7.0,4.0,1108.0,34.0,5.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,40.0,18.0,2.0,5.0,1705
201120799,OAXACA,SAN BARTOLO COYOTEPEC,98.0,132.0,27.0,33.0,79.0,26.0,13.0,786.0,27.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,29.0,7.0,1.0,1.0,1313.0,OAXACA,SAN BARTOLO COYOTEPEC,106.0,108.0,20.0,9.0,67.0,9.0,4.0,826.0,14.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,41.0,11.0,4.0,0.0,1313
201120800,OAXACA,SAN BARTOLO COYOTEPEC,104.0,230.0,35.0,44.0,74.0,36.0,13.0,1143.0,36.0,4.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,28.0,9.0,1.0,3.0,1812.0,OAXACA,SAN BARTOLO COYOTEPEC,95.0,178.0,13.0,9.0,101.0,8.0,1.0,1210.0,16.0,8.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,47.0,12.0,4.0,7.0,1809
201130801,OAXACA,SAN BARTOLO SOYALTEPEC,9.0,40.0,6.0,10.0,28.0,2.0,3.0,100.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,215.0,OAXACA,SAN BARTOLO SOYALTEPEC,9.0,35.0,6.0,2.0,24.0,2.0,3.0,108.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,215
