h0303,h0305,h0306,h0307,h0308,h0312,h0317a,h0317g,h0318,h0327,h0324,h0317aint,h0317gint,h0317
47,1,1,2,2,1,3,3,1,1,Obrero,12,3.0,15.0
49,2,1,2,2,1,4,3,1,1,Quehaceres del hogar,15,3.0,18.0
22,3,1,1,1,1,4,3,1,1,Obrero,15,3.0,18.0
17,3,1,1,1,1,4,2,1,1,Estudiante,15,2.0,17.0
16,3,1,1,1,1,4,2,1,1,Estudiante,15,2.0,17.0
54,1,1,2,2,1,3,2,1,2,Jubilado o pensionado,12,2.0,14.0
51,2,1,2,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
31,3,1,1,1,1,10,4,1,2,Empleado,18,4.0,22.0
32,3,1,1,1,1,4,3,1,2,Empleado,15,3.0,18.0
50,1,1,2,3,1,4,3,1,4,Empleado,15,3.0,18.0
43,2,1,3,2,1,3,3,1,4,Quehaceres del hogar,12,3.0,15.0
26,3,1,1,1,1,10,1,1,4,Empleado,18,1.0,19.0
19,3,1,1,1,1,10,2,1,4,Estudiante,18,2.0,20.0
13,3,1,1,1,1,3,1,1,4,Otra situación,12,1.0,13.0
10,3,1,1,1,1,2,4,1,4,Estudiante,6,4.0,10.0
55,1,2,2,3,1,11,2,1,3,Empleado,23,2.0,25.0
25,3,1,1,2,1,10,4,1,3,Otra situación,18,4.0,22.0
23,3,1,1,2,1,10,1,1,3,Estudiante,18,1.0,19.0
55,1,2,2,3,1,11,2,1,3,Empleado,23,2.0,25.0
25,3,1,1,2,1,10,4,1,3,Otra situación,18,4.0,22.0
23,3,1,1,2,1,10,1,1,3,Estudiante,18,1.0,19.0
37,1,2,2,2,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
33,1,1,2,2,1,10,4,1,2,Empleado,18,4.0,22.0
71,1,1,3,3,1,2,4,1,2,Quehaceres del hogar,6,4.0,10.0
65,1,1,3,3,1,4,3,1,3,Jubilado o pensionado,15,3.0,18.0
41,1,1,3,2,1,3,3,1,3,Empleado,12,3.0,15.0
42,2,1,2,2,1,10,4,1,3,Incapacitado,18,4.0,22.0
50,1,2,2,2,1,6,3,1,3,Empleado,12,3.0,15.0
47,2,2,3,2,1,4,3,1,3,Otra situación,15,3.0,18.0
69,1,2,3,3,1,2,6,1,3,Jubilado o pensionado,6,6.0,12.0
69,2,1,3,3,1,5,2,1,3,Quehaceres del hogar,18,2.0,20.0
30,1,1,2,2,1,9,4,1,3,Empleado,19,4.0,23.0
31,1,1,1,3,1,3,3,1,2,Empleado,12,3.0,15.0
59,6,1,3,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
20,8,1,1,3,1,10,2,1,2,Estudiante,18,2.0,20.0
31,1,1,1,3,1,3,3,1,2,Empleado,12,3.0,15.0
59,6,1,3,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
20,8,1,1,3,1,10,2,1,2,Estudiante,18,2.0,20.0
64,1,2,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
66,1,2,3,3,1,4,2,1,3,Jubilado o pensionado,15,2.0,17.0
31,3,1,2,1,1,10,4,1,3,Empleado,18,4.0,22.0
66,1,2,3,3,1,4,2,1,3,Jubilado o pensionado,15,2.0,17.0
31,3,1,2,1,1,10,4,1,3,Empleado,18,4.0,22.0
60,1,1,3,3,1,4,1,1,2,Jubilado o pensionado,15,1.0,16.0
63,2,1,3,3,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
45,1,1,3,3,1,10,3,1,3,Empleado,18,3.0,21.0
45,2,1,2,3,1,4,3,1,3,Quehaceres del hogar,15,3.0,18.0
17,3,1,1,1,1,4,2,1,3,Estudiante,15,2.0,17.0
9,3,1,1,1,1,2,4,1,3,Estudiante,6,4.0,10.0
74,1,2,3,3,1,3,1,1,3,Jubilado o pensionado,12,1.0,13.0
20,1,2,2,3,1,2,6,1,1,Quehaceres del hogar,6,6.0,12.0
39,1,2,9,2,1,4,3,1,2,Empleado,15,3.0,18.0
31,1,2,2,3,1,4,3,1,1,Quehaceres del hogar,15,3.0,18.0
11,3,1,1,2,1,2,5,1,1,Estudiante,6,5.0,11.0
4,3,1,1,2,1,1,2,1,1,Estudiante,3,2.0,5.0
69,1,2,3,3,1,10,5,1,2,Trabajador por su cuenta,18,5.0,23.0
69,1,2,3,3,1,3,3,1,2,Empleado,12,3.0,15.0
71,1,1,3,3,1,2,6,1,1,Quehaceres del hogar,6,6.0,12.0
58,1,1,2,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
60,1,2,3,3,1,2,2,1,2,Quehaceres del hogar,6,2.0,8.0
36,3,3,1,2,1,3,1,1,2,Empleado,12,1.0,13.0
30,3,3,1,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
23,3,1,1,3,1,3,3,1,2,Empleado,12,3.0,15.0
60,1,2,3,3,1,2,2,1,2,Quehaceres del hogar,6,2.0,8.0
36,3,3,1,2,1,3,1,1,2,Empleado,12,1.0,13.0
30,3,3,1,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
23,3,1,1,3,1,3,3,1,2,Empleado,12,3.0,15.0
23,1,2,2,2,1,10,4,1,3,Quehaceres del hogar,18,4.0,22.0
30,2,4,2,2,1,11,3,1,3,Empleado,23,3.0,26.0
56,1,1,2,3,1,2,6,1,2,Trabajador por su cuenta,6,6.0,12.0
26,3,1,1,3,1,4,3,1,4,Trabajador por su cuenta,15,3.0,18.0
35,1,1,2,2,1,10,2,1,2,Empleado,18,2.0,20.0
33,2,1,2,2,1,10,4,1,1,Empleado,18,4.0,22.0
16,9,1,1,2,1,4,2,1,3,Estudiante,15,2.0,17.0
39,1,1,2,2,1,10,4,1,3,Empleado,18,4.0,22.0
38,2,1,2,2,1,10,3,1,4,Empleado,18,3.0,21.0
6,3,1,1,1,1,2,1,1,3,Estudiante,6,1.0,7.0
24,1,1,2,2,1,4,2,1,2,Trabajador por su cuenta,15,2.0,17.0
52,1,1,2,2,1,2,6,1,3,Trabajador por su cuenta,6,6.0,12.0
49,2,1,3,2,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
76,1,1,3,3,1,0, ,2,2,Jubilado o pensionado,0,,0.0
55,3,1,1,3,1,4,3,1,1,Empleado,15,3.0,18.0
50,8,1,2,2,1,4,3,1,1,Empleado,15,3.0,18.0
84,1,1,3,3,1,4,3,1,3,Jubilado o pensionado,15,3.0,18.0
34,1,1,2,2,1,10,3,1,3,Trabajador por su cuenta,18,3.0,21.0
28,8,1,2,2,1,4,3,1,3,Trabajador por su cuenta,15,3.0,18.0
7,3,1,2,1,1,2,1,1,3,Estudiante,6,1.0,7.0
5,3,1,2,1,1,1,3,2,3,Estudiante,3,3.0,6.0
61,1,2,3,3,1,4,2,1,3,Jubilado o pensionado,15,2.0,17.0
26,1,2,2,2,1,10,3,1,3,Empleado,18,3.0,21.0
7,3,1,1,2,1,2,2,1,3,Estudiante,6,2.0,8.0
42,1,1,3,2,1,4,3,1,3,Trabajador por su cuenta,15,3.0,18.0
40,2,1,2,2,1,3,3,1,3,Trabajador por su cuenta,12,3.0,15.0
11,3,1,1,1,1,2,6,1,3,Estudiante,6,6.0,12.0
6,3,1,1,1,1,1,3,1,3,Estudiante,3,3.0,6.0
48,1,1,3,3,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
13,3,1,1,2,1,3,3,1,2,Estudiante,12,3.0,15.0
