h0303,h0305,h0306,h0307,h0308,h0312,h0317a,h0317g,h0318,h0327,h0324,h0317aint,h0317gint,h0317
74,2,2,3,3,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
30,3,1,1,1,1,2,6,1,1,Jubilado o pensionado,6,6.0,12.0
61,1,1,3,3,1,3,3,1,2,Jubilado o pensionado,12,3.0,15.0
62,2,2,3,3,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
26,3,1,1,1,1,10,3,1,2,Estudiante,18,3.0,21.0
61,1,1,3,3,1,3,3,1,2,Jubilado o pensionado,12,3.0,15.0
62,2,2,3,3,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
26,3,1,1,1,1,10,3,1,2,Estudiante,18,3.0,21.0
81,1,1,3,3,1,10,3,1,1,Jubilado o pensionado,18,3.0,21.0
71,2,1,3,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
59,1,1,3,3,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
69,1,1,3,3,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
72,1,1,3,3,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
41,3,1,1,3,1,4,3,1,2,Empleado,15,3.0,18.0
72,1,1,3,3,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
41,3,1,1,3,1,4,3,1,2,Empleado,15,3.0,18.0
45,1,1,2,2,1,10,3,1,3,Empleado,18,3.0,21.0
44,2,1,2,2,1,3,3,1,3,Trabajador por su cuenta,12,3.0,15.0
22,3,1,1,1,1,4,3,1,3,Jornalero o peón,15,3.0,18.0
13,3,1,1,1,1,3,1,1,3,Estudiante,12,1.0,13.0
45,1,1,2,2,1,10,3,1,3,Empleado,18,3.0,21.0
44,2,1,2,2,1,3,3,1,3,Trabajador por su cuenta,12,3.0,15.0
22,3,1,1,1,1,4,3,1,3,Jornalero o peón,15,3.0,18.0
13,3,1,1,1,1,3,1,1,3,Estudiante,12,1.0,13.0
77,1,1,3,3,1,2,1,2,1,Trabajador por su cuenta,6,1.0,7.0
57,1,1,3,3,1,3,3,1,2,Jornalero o peón,12,3.0,15.0
55,2,1,2,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
37,3,1,1,1,1,10,6,1,2,Quehaceres del hogar,18,6.0,24.0
6,4,1,1,2,1,2,1,1,2,Quehaceres del hogar,6,1.0,7.0
34,1,1,2,2,1,4,3,1,2,Trabajador por su cuenta,15,3.0,18.0
28,2,1,2,2,1,4,3,1,2,Empleado,15,3.0,18.0
10,3,1,1,1,1,2,5,1,2,Estudiante,6,5.0,11.0
8,3,1,1,1,1,2,3,1,2,Estudiante,6,3.0,9.0
6,3,1,1,1,1,2,1,2,2,Jornalero o peón,6,1.0,7.0
58,1,1,2,2,1,2,2,2,2,Quehaceres del hogar,6,2.0,8.0
63,2,1,3,3,1,2,6,1,2,Jornalero o peón,6,6.0,12.0
33,3,1,1,1,1,2,4,2,2,Incapacitado,6,4.0,10.0
37,1,1,2,2,1,3,3,1,3,Empleado,12,3.0,15.0
37,2,1,2,2,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
11,3,1,1,1,1,2,5,1,3,Estudiante,6,5.0,11.0
9,3,1,1,1,1,2,3,1,3,Estudiante,6,3.0,9.0
34,1,1,3,2,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
19,3,1,1,3,1,2,6,1,1,Quehaceres del hogar,6,6.0,12.0
18,3,1,1,3,1,2,6,1,1,Trabajador sin pago,6,6.0,12.0
16,3,1,1,3,1,2,6,1,1,Busco Trabajo,6,6.0,12.0
10,3,1,1,3,1,2,4,1,1,Trabajador sin pago,6,4.0,10.0
3,3,1,1,3,1,0, ,1,1,Estudiante,0,,0.0
54,1,1,3,3,1,3,3,1,3,Empleado,12,3.0,15.0
37,8,1,2,2,1,4,3,1,3,Empleado,15,3.0,18.0
30,3,1,3,1,1,3,3,1,3,Empleado,12,3.0,15.0
28,3,1,3,1,1,4,3,1,3,Empleado,15,3.0,18.0
27,5,1,2,2,1,3,3,1,3,Empleado,12,3.0,15.0
4,4,1,1,2,1,0, ,1,3,Incapacitado,0,,0.0
4,4,1,1,2,1,0, ,1,3,Incapacitado,0,,0.0
68,1,1,3,3,1,2,6,1,3,Trabajador por su cuenta,6,6.0,12.0
55,2,2,3,3,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
37,3,1,1,1,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
26,3,1,1,1,1,2,6,1,3,Empleado,6,6.0,12.0
68,1,1,3,3,1,2,6,1,3,Trabajador por su cuenta,6,6.0,12.0
55,2,2,3,3,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
37,3,1,1,1,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
26,3,1,1,1,1,2,6,1,3,Empleado,6,6.0,12.0
52,1,1,3,2,1,0, ,2,3,Quehaceres del hogar,0,,0.0
14,3,3,1,2,1,3,2,1,3,Estudiante,12,2.0,14.0
9,3,1,1,2,1,2,4,1,3,Estudiante,6,4.0,10.0
59,1,1,3,3,1,2,6,1,1,Empleado,6,6.0,12.0
44,1,1,3,2,1,2,3,1,3,Trabajador por su cuenta,6,3.0,9.0
15,3,3,1,2,1,4,1,1,3,Estudiante,15,1.0,16.0
13,3,1,1,2,1,3,2,1,3,Estudiante,12,2.0,14.0
9,3,1,1,2,1,2,4,1,3,Estudiante,6,4.0,10.0
44,1,1,2,2,1,2,6,1,1,Empleado,6,6.0,12.0
49,2,1,3,2,1,2,1,1,1,Quehaceres del hogar,6,1.0,7.0
19,3,1,1,1,1,3,3,1,1,Estudiante,12,3.0,15.0
15,3,1,1,1,1,3,1,1,1,Estudiante,12,1.0,13.0
14,3,1,1,1,1,3,1,1,1,Quehaceres del hogar,12,1.0,13.0
13,3,1,1,1,1,3,1,1,1,Quehaceres del hogar,12,1.0,13.0
44,1,1,2,2,1,2,6,1,1,Empleado,6,6.0,12.0
49,2,1,3,2,1,2,1,1,1,Quehaceres del hogar,6,1.0,7.0
19,3,1,1,1,1,3,3,1,1,Estudiante,12,3.0,15.0
15,3,1,1,1,1,3,1,1,1,Estudiante,12,1.0,13.0
14,3,1,1,1,1,3,1,1,1,Quehaceres del hogar,12,1.0,13.0
13,3,1,1,1,1,3,1,1,1,Quehaceres del hogar,12,1.0,13.0
47,1,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
42,8,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
47,1,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
42,8,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
36,1,1,3,3,1,2,6,1,4,Trabajador por su cuenta,6,6.0,12.0
0,3,1,1,2,1,0, ,1,4,Estudiante,0,,0.0
41,1,1,2,3,1,2,6,1,3,Trabajador por su cuenta,6,6.0,12.0
44,1,1,3,3,1,0, ,2,1,Jornalero o peón,0,,0.0
40,2,1,2,2,1,3,1,1,1,Quehaceres del hogar,12,1.0,13.0
15,3,1,1,1,1,4,1,1,1,Jornalero o peón,15,1.0,16.0
11,3,1,1,1,1,2,6,1,1,Estudiante,6,6.0,12.0
9,3,1,1,1,1,2,3,1,1,Quehaceres del hogar,6,3.0,9.0
63,1,1,2,3,1,2,1,1,1,Quehaceres del hogar,6,1.0,7.0
30,3,1,1,2,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
6,4,1,1,2,1,1,3,2,1,Incapacitado,3,3.0,6.0
63,1,1,2,3,1,2,1,1,1,Quehaceres del hogar,6,1.0,7.0
30,3,1,1,2,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
6,4,1,1,2,1,1,3,2,1,Incapacitado,3,3.0,6.0
57,1,1,3,3,1,2,2,1,6,Incapacitado,6,2.0,8.0
63,2,1,3,3,1,2,3,2,6,Quehaceres del hogar,6,3.0,9.0
42,1,1,2,2,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
15,3,1,1,3,1,3,3,1,1,Trabajador sin pago,12,3.0,15.0
13,3,1,1,3,1,3,1,1,1,Estudiante,12,1.0,13.0
58,1,1,3,3,1,2,1,1,2,Quehaceres del hogar,6,1.0,7.0
33,3,1,1,3,1,2,1,1,2,Jornalero o peón,6,1.0,7.0
20,3,1,1,3,1,2,6,1,1,Jornalero o peón,6,6.0,12.0
12,4,3,2,2,1,2,6,1,2,Estudiante,6,6.0,12.0
2,4,1,1,2,1,1, ,1,3,Incapacitado,3,,0.0
58,1,1,3,3,1,2,1,1,2,Quehaceres del hogar,6,1.0,7.0
33,3,1,1,3,1,2,1,1,2,Jornalero o peón,6,1.0,7.0
20,3,1,1,3,1,2,6,1,1,Jornalero o peón,6,6.0,12.0
12,4,3,2,2,1,2,6,1,2,Estudiante,6,6.0,12.0
2,4,1,1,2,1,1, ,1,3,Incapacitado,3,,0.0
58,1,1,2,3,1,0, ,2,1,Incapacitado,0,,0.0
56,2,1,2,3,1,0, ,2,1,Quehaceres del hogar,0,,0.0
27,3,1,1,1,1,4,3,1,1,Empleado,15,3.0,18.0
26,3,1,1,1,1,2,6,1,1,Otra situación,6,6.0,12.0
25,3,1,1,1,1,4,3,1,1,Empleado,15,3.0,18.0
22,3,1,1,1,1,4,3,1,1,Empleado,15,3.0,18.0
20,3,1,1,1,1,2,6,2,1,Incapacitado,6,6.0,12.0
58,1,1,2,3,1,0, ,2,1,Incapacitado,0,,0.0
56,2,1,2,3,1,0, ,2,1,Quehaceres del hogar,0,,0.0
27,3,1,1,1,1,4,3,1,1,Empleado,15,3.0,18.0
26,3,1,1,1,1,2,6,1,1,Otra situación,6,6.0,12.0
25,3,1,1,1,1,4,3,1,1,Empleado,15,3.0,18.0
22,3,1,1,1,1,4,3,1,1,Empleado,15,3.0,18.0
20,3,1,1,1,1,2,6,2,1,Incapacitado,6,6.0,12.0
73,1,1,3,3,1,0, ,2,2,Busco Trabajo,0,,0.0
24,3,1,3,1,1,3,3,1,2,Empleado,12,3.0,15.0
53,1,2,3,3,1,2,5,1,6,Quehaceres del hogar,6,5.0,11.0
53,2,1,3,3,1,2,6,1,6,Trabajador sin pago,6,6.0,12.0
21,1,2,2,3,1,3,3,1,1,Obrero,12,3.0,15.0
22,2,2,2,2,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
1,3,1,1,1,1,0, ,1,1,Quehaceres del hogar,0,,0.0
53,1,1,3,3,1,4,2,1,2,Patrón o empleador,15,2.0,17.0
28,3,1,2,1,1,4,2,1,1,Empleado,15,2.0,17.0
53,1,1,3,3,1,4,2,1,2,Patrón o empleador,15,2.0,17.0
28,3,1,2,1,1,4,2,1,1,Empleado,15,2.0,17.0
69,1,2,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
63,1,1,3,3,1,2,3,1,3,Trabajador sin pago,6,3.0,9.0
62,2,1,3,3,1,3,3,1,3,Obrero,12,3.0,15.0
35,3,1,1,1,1,4,3,1,3,Obrero,15,3.0,18.0
32,3,1,1,1,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
27,3,1,1,1,1,3,3,1,3,Obrero,12,3.0,15.0
32,5,1,1,1,1,0, ,1,3,Obrero,0,,0.0
5,4,1,1,1,1,1,3,2,3,Quehaceres del hogar,3,3.0,6.0
2,4,1,1,1,1,1, ,1,3,Estudiante,3,,0.0
63,1,1,3,3,1,2,3,1,3,Trabajador sin pago,6,3.0,9.0
62,2,1,3,3,1,3,3,1,3,Obrero,12,3.0,15.0
35,3,1,1,1,1,4,3,1,3,Obrero,15,3.0,18.0
32,3,1,1,1,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
27,3,1,1,1,1,3,3,1,3,Obrero,12,3.0,15.0
32,5,1,1,1,1,0, ,1,3,Obrero,0,,0.0
5,4,1,1,1,1,1,3,2,3,Quehaceres del hogar,3,3.0,6.0
2,4,1,1,1,1,1, ,1,3,Estudiante,3,,0.0
70,1,1,3,3,1,2,3,1,2,Empleado,6,3.0,9.0
55,8,1,2,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
52,8,1,2,2,1,2,6,1,2,Empleado,6,6.0,12.0
78,1,1,3,3,1,2,6,1,3,Jubilado o pensionado,6,6.0,12.0
76,2,1,3,3,1,2,1,2,3,Quehaceres del hogar,6,1.0,7.0
48,3,1,1,1,1,2,6,1,3,Trabajador por su cuenta,6,6.0,12.0
38,3,1,1,1,1,10,3,1,3,Trabajador por su cuenta,18,3.0,21.0
78,1,1,3,3,1,2,6,1,3,Jubilado o pensionado,6,6.0,12.0
76,2,1,3,3,1,2,1,2,3,Quehaceres del hogar,6,1.0,7.0
48,3,1,1,1,1,2,6,1,3,Trabajador por su cuenta,6,6.0,12.0
38,3,1,1,1,1,10,3,1,3,Trabajador por su cuenta,18,3.0,21.0
87,1,2,3,3,1,0, ,2,1,Incapacitado,0,,0.0
49,3,1,1,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
38,1,1,2,2,1,4,3,1,3,Empleado,15,3.0,18.0
35,2,1,2,2,1,4,3,1,3,Quehaceres del hogar,15,3.0,18.0
13,3,1,1,1,1,3,1,1,3,Estudiante,12,1.0,13.0
7,3,1,1,1,1,2,1,1,3,Estudiante,6,1.0,7.0
3,3,1,1,1,1,0, ,1,3,Estudiante,0,,0.0
40,1,2,2,3,1,2,6,1,3,Empleado,6,6.0,12.0
15,3,1,3,1,1,3,3,1,3,Estudiante,12,3.0,15.0
13,3,1,3,1,1,3,1,1,3,Estudiante,12,1.0,13.0
75,1,1,3,3,1,2,3,1,1,Quehaceres del hogar,6,3.0,9.0
55,3,1,1,3,1,2,4,2,1,Quehaceres del hogar,6,4.0,10.0
44,1,1,2,2,1,8,3,1,3,Empleado,18,3.0,21.0
43,2,2,2,3,1,4,3,1,3,Quehaceres del hogar,15,3.0,18.0
19,3,1,1,1,1,4,2,1,3,Estudiante,15,2.0,17.0
8,3,1,1,1,1,2,2,1,3,Estudiante,6,2.0,8.0
36,1,1,2,2,1,4,1,1,3,Empleado,15,1.0,16.0
35,2,1,2,3,1,4,2,1,3,Trabajador sin pago,15,2.0,17.0
15,3,1,1,1,1,3,3,1,3,Estudiante,12,3.0,15.0
13,3,1,1,1,1,3,1,1,3,Estudiante,12,1.0,13.0
12,3,1,1,1,1,2,6,1,3,Estudiante,6,6.0,12.0
10,3,1,1,1,1,2,4,1,3,Estudiante,6,4.0,10.0
5,3,1,1,1,1,1,2,2,3,Incapacitado,3,2.0,5.0
3,3,1,1,1,1,0, ,1,3,Estudiante,0,,0.0
1,3,1,1,1,1,0, ,1,3,Estudiante,0,,0.0
66,1,2,3,3,1,2,2,1,3,Empleado,6,2.0,8.0
32,3,1,1,2,1,2,6,1,3,Empleado,6,6.0,12.0
31,3,1,1,2,1,3,1,1,3,Empleado,12,1.0,13.0
28,3,1,1,2,1,3,3,1,3,Empleado,12,3.0,15.0
78,1,2,3,3,1,0, ,1,6,Otra situación,0,,0.0
60,1,1,3,3,1,3,3,1,3,Trabajador por su cuenta,12,3.0,15.0
61,2,1,3,3,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
33,3,1,1,1,1,4,3,1,3,Empleado,15,3.0,18.0
72,1,1,3,3,1,2,6,1,5,Trabajador por su cuenta,6,6.0,12.0
51,3,1,3,3,1,2,6,1,5,Empleado,6,6.0,12.0
48,3,1,2,2,1,3,2,1,5,Empleado,12,2.0,14.0
47,3,1,2,2,1,3,3,1,5,Empleado,12,3.0,15.0
46,3,1,2,2,1,3,3,1,5,Empleado,12,3.0,15.0
43,1,1,2,3,1,4,3,1,2,Empleado,15,3.0,18.0
18,3,1,1,2,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
65,1,1,3,3,1,3,3,1,2,Empleado,12,3.0,15.0
65,2,2,2,2,1,2,6,1,2,Trabajador por su cuenta,6,6.0,12.0
34,3,1,1,1,1,10,5,1,2,Empleado,18,5.0,23.0
8,4,1,1,2,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
65,1,1,3,3,1,3,3,1,2,Empleado,12,3.0,15.0
65,2,2,2,2,1,2,6,1,2,Trabajador por su cuenta,6,6.0,12.0
34,3,1,1,1,1,10,5,1,2,Empleado,18,5.0,23.0
8,4,1,1,2,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
43,1,1,2,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
75,1,2,3,3,1,0, ,2,2,Empleado,0,,0.0
67,2,1,3,3,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
41,3,1,1,1,1,4,2,1,2,Empleado,15,2.0,17.0
35,5,1,3,2,1,2,6,1,2,Empleado,6,6.0,12.0
23,4,1,2,2,1,10,5,1,2,Empleado,18,5.0,23.0
75,1,2,3,3,1,0, ,2,2,Empleado,0,,0.0
67,2,1,3,3,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
41,3,1,1,1,1,4,2,1,2,Empleado,15,2.0,17.0
35,5,1,3,2,1,2,6,1,2,Empleado,6,6.0,12.0
23,4,1,2,2,1,10,5,1,2,Empleado,18,5.0,23.0
58,1,1,1,3,1,2,6,1,1,Quehaceres del hogar,6,6.0,12.0
94,6,1,3,3,1,0, ,2,1,Incapacitado,0,,0.0
49,8,1,1,3,1,0, ,2,1,Incapacitado,0,,0.0
28,1,2,2,2,1,10,3,1,3,Trabajador por su cuenta,18,3.0,21.0
7,3,2,1,2,1,2,1,1,3,Estudiante,6,1.0,7.0
7,3,2,1,2,1,2,1,1,3,Estudiante,6,1.0,7.0
43,1,2,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
50,2,2,3,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
20,3,2,1,1,1,4,3,1,2,Empleado,15,3.0,18.0
15,3,2,1,1,1,3,2,1,2,Estudiante,12,2.0,14.0
43,1,2,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
50,2,2,3,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
20,3,2,1,1,1,4,3,1,2,Empleado,15,3.0,18.0
15,3,2,1,1,1,3,2,1,2,Estudiante,12,2.0,14.0
30,1,1,2,2,1,3,3,1,2,Trabajador por su cuenta,12,3.0,15.0
6,3,2,1,2,1,2,2,1,2,Estudiante,6,2.0,8.0
3,3,1,1,2,1,1,1,1,2,Estudiante,3,1.0,4.0
36,1,1,3,3,1,2,5,2,2,Jornalero o peón,6,5.0,11.0
26,8,1,3,3,1,2,5,1,2,Empleado,6,5.0,11.0
24,8,1,3,3,1,2,5,2,2,Quehaceres del hogar,6,5.0,11.0
19,8,1,3,3,1,3,3,1,2,Obrero,12,3.0,15.0
40,1,1,3,3,1,4,3,1,4,Empleado,15,3.0,18.0
39,2,2,2,3,1,3,3,1,4,Empleado,12,3.0,15.0
18,3,2,1,1,1,4,3,1,4,Estudiante,15,3.0,18.0
12,3,2,1,1,1,3,1,1,4,Estudiante,12,1.0,13.0
3,3,2,1,1,1,1,1,1,4,Estudiante,3,1.0,4.0
55,1,1,3,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
22,3,1,1,3,1,3,3,1,1,Empleado,12,3.0,15.0
55,1,1,3,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
22,3,1,1,3,1,3,3,1,1,Empleado,12,3.0,15.0
86,1,1,3,3,1,0, ,2,6,Quehaceres del hogar,0,,0.0
53,1,1,3,3,1,3,3,1,2,Empleado,12,3.0,15.0
27,3,1,1,2,1,10,2,1,2,Empleado,18,2.0,20.0
26,3,1,1,2,1,4,2,1,2,Estudiante,15,2.0,17.0
3,4,1,1,2,1,0, ,1,2,Incapacitado,0,,0.0
65,1,1,3,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
62,2,1,3,3,1,2,4,1,2,Quehaceres del hogar,6,4.0,10.0
43,3,1,1,1,1,3,3,1,2,Trabajador por su cuenta,12,3.0,15.0
9,4,1,1,2,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
65,1,1,3,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
62,2,1,3,3,1,2,4,1,2,Quehaceres del hogar,6,4.0,10.0
43,3,1,1,1,1,3,3,1,2,Trabajador por su cuenta,12,3.0,15.0
9,4,1,1,2,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
63,1,1,3,2,1,2,6,1,3,Jornalero o peón,6,6.0,12.0
59,2,2,3,3,1,0, ,2,3,Quehaceres del hogar,0,,0.0
28,3,1,1,1,1,10,6,1,3,Empleado,18,6.0,24.0
19,3,1,1,1,1,4,3,1,3,Estudiante,15,3.0,18.0
63,1,1,3,2,1,2,6,1,3,Jornalero o peón,6,6.0,12.0
59,2,2,3,3,1,0, ,2,3,Quehaceres del hogar,0,,0.0
28,3,1,1,1,1,10,6,1,3,Empleado,18,6.0,24.0
19,3,1,1,1,1,4,3,1,3,Estudiante,15,3.0,18.0
74,1,1,3,3,1,0, ,1,1,Trabajador por su cuenta,0,,0.0
67,2,1,3,3,1,2,3,1,1,Quehaceres del hogar,6,3.0,9.0
46,1,2,3,9,1,10,2,1,1,Trabajador por su cuenta,18,2.0,20.0
14,3,1,1,2,1,3,3,1,1,Estudiante,12,3.0,15.0
11,3,1,1,2,1,2,5,1,1,Estudiante,6,5.0,11.0
68,1,1,2,3,1,2,2,1,1,Quehaceres del hogar,6,2.0,8.0
72,1,1,3,3,1,0, ,1,1,Trabajador por su cuenta,0,,0.0
66,2,2,3,3,1,0, ,1,1,Trabajador sin pago,0,,0.0
73,1,1,3,3,1,0, ,2,1,Jornalero o peón,0,,0.0
68,2,1,3,3,1,2,6,1,1,Quehaceres del hogar,6,6.0,12.0
43,1,1,2,2,1,3,3,1,2,Obrero,12,3.0,15.0
44,2,1,2,2,1,2,5,1,2,Quehaceres del hogar,6,5.0,11.0
4,3,1,1,1,1,1,1,1,2,Estudiante,3,1.0,4.0
2,3,1,1,1,1,0, ,1,2,Estudiante,0,,0.0
52,1,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
36,2,1,2,2,1,3,2,1,1,Trabajador por su cuenta,12,2.0,14.0
14,3,3,1,1,1,3,2,1,1,Estudiante,12,2.0,14.0
11,3,3,1,1,1,2,5,1,1,Estudiante,6,5.0,11.0
9,3,3,1,1,1,2,3,1,1,Estudiante,6,3.0,9.0
8,3,1,1,1,1,2,2,1,1,Quehaceres del hogar,6,2.0,8.0
52,1,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
36,2,1,2,2,1,3,2,1,1,Trabajador por su cuenta,12,2.0,14.0
14,3,3,1,1,1,3,2,1,1,Estudiante,12,2.0,14.0
11,3,3,1,1,1,2,5,1,1,Estudiante,6,5.0,11.0
9,3,3,1,1,1,2,3,1,1,Estudiante,6,3.0,9.0
8,3,1,1,1,1,2,2,1,1,Quehaceres del hogar,6,2.0,8.0
62,1,2,3,3,1,0, ,2,1,Empleado,0,,0.0
64,1,1,3,3,1,2,2,1,1,Empleado,6,2.0,8.0
61,2,1,3,3,1,0, ,2,1,Otra situación,0,,0.0
33,3,1,1,1,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
64,1,1,3,3,1,2,2,1,1,Empleado,6,2.0,8.0
61,2,1,3,3,1,0, ,2,1,Otra situación,0,,0.0
33,3,1,1,1,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
23,1,1,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
23,2,1,2,2,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
1,3,1,1,1,1,0, ,1,2,Estudiante,0,,0.0
54,1,1,3,3,1,2,3,2,2,Trabajador por su cuenta,6,3.0,9.0
35,2,1,2,2,1,4,2,1,2,Trabajador por su cuenta,15,2.0,17.0
13,3,1,1,1,1,3,1,1,2,Estudiante,12,1.0,13.0
11,3,1,1,1,1,2,5,1,2,Estudiante,6,5.0,11.0
54,1,1,3,3,1,2,3,2,2,Trabajador por su cuenta,6,3.0,9.0
35,2,1,2,2,1,4,2,1,2,Trabajador por su cuenta,15,2.0,17.0
13,3,1,1,1,1,3,1,1,2,Estudiante,12,1.0,13.0
11,3,1,1,1,1,2,5,1,2,Estudiante,6,5.0,11.0
32,1,1,2,2,1,3,3,1,3,Jornalero o peón,12,3.0,15.0
30,2,1,2,2,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
10,3,1,1,1,1,2,4,1,3,Estudiante,6,4.0,10.0
5,3,1,1,1,1,1,2,2,3,Incapacitado,3,2.0,5.0
29,1,1,2,2,1,3,3,1,3,Jornalero o peón,12,3.0,15.0
29,2,1,2,3,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
11,3,1,1,1,1,2,5,1,3,Estudiante,6,5.0,11.0
9,3,1,1,1,1,2,3,1,3,Estudiante,6,3.0,9.0
58,1,1,3,3,1,0, ,1,2,Jornalero o peón,0,,0.0
54,2,1,2,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
27,3,1,1,1,1,10,4,1,2,Empleado,18,4.0,22.0
27,5,1,2,2,1,10,3,1,2,Estudiante,18,3.0,21.0
24,3,1,1,1,2,3,3,1,2,Trabajador por su cuenta,12,3.0,15.0
22,3,1,1,1,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
52,1,1,2,3,1,3,3,1,2,Empleado,12,3.0,15.0
19,3,1,1,3,1,3,3,1,2,Empleado,12,3.0,15.0
68,1,1,3,3,1,0, ,1,2,Trabajador por su cuenta,0,,0.0
56,2,1,2,2,1,3,3,1,2,Trabajador sin pago,12,3.0,15.0
19,9,1,1,3,1,3,3,1,2,Trabajador sin pago,12,3.0,15.0
12,4,1,2,2,1,2,6,1,2,Estudiante,6,6.0,12.0
8,4,1,2,2,1,2,2,1,2,Estudiante,6,2.0,8.0
31,1,1,2,3,1,2,6,1,1,Empleado,6,6.0,12.0
34,2,1,2,2,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
7,3,1,1,1,1,2,2,1,1,Quehaceres del hogar,6,2.0,8.0
3,3,1,1,1,1,0, ,1,1,Quehaceres del hogar,0,,0.0
27,1,1,2,2,1,2,6,1,1,Empleado,6,6.0,12.0
12,3,1,1,2,1,3,1,1,1,Estudiante,12,1.0,13.0
10,3,1,1,2,1,2,5,1,1,Estudiante,6,5.0,11.0
9,3,1,1,2,1,2,3,1,1,Estudiante,6,3.0,9.0
76,1,1,3,3,1,0, ,2,2,Quehaceres del hogar,0,,0.0
41,5,1,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
30,3,1,1,3,1,2,3,1,2,Empleado,6,3.0,9.0
16,4,1,1,2,1,4,2,1,2,Empleado,15,2.0,17.0
15,4,1,1,1,1,3,1,1,2,Empleado,12,1.0,13.0
14,4,1,1,1,1,2,3,1,2,Empleado,6,3.0,9.0
3,4,1,1,2,1,0, ,1,2,Incapacitado,0,,0.0
51,1,1,2,2,1,2,5,1,1,Empleado,6,5.0,11.0
34,2,1,2,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
16,8,1,1,2,1,3,2,1,1,Empleado,12,2.0,14.0
11,3,1,1,1,1,2,5,1,1,Estudiante,6,5.0,11.0
8,3,1,1,1,1,2,2,1,1,Quehaceres del hogar,6,2.0,8.0
48,1,2,3,3,1,3,3,1,2,Empleado,12,3.0,15.0
73,7,1,3,3,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
46,2,1,1,3,1,4,3,1,2,Quehaceres del hogar,15,3.0,18.0
19,3,1,1,1,1,10,1,1,2,Estudiante,18,1.0,19.0
14,3,1,1,1,1,3,2,1,2,Estudiante,12,2.0,14.0
65,1,1,3,3,1,4,3,1,2,Jubilado o pensionado,15,3.0,18.0
